date,team,opponent,result
11-25,North+Carolina,College of Charleston,"W, 79-60 "
11-30,North+Carolina,UNLV,"W, 78-51 "
12-01,North+Carolina,Stanford,"W, 67-63 "
12-02,North+Carolina,Texas,"L, 69-67 "
12-08,North+Carolina,Iowa,"L, 93-80 "
12-12,North+Carolina,North Carolina Central,"W, 73-67 "
12-19,North+Carolina,Kentucky,"W, 75-63 "
12-22,North+Carolina,North Carolina St.,"L, 79-76 "
12-30,North+Carolina,Georgia Tech,"L, 72-67 "
1-02,North+Carolina,Notre Dame,"W, 66-65 "
1-05,North+Carolina,Miami FL,"W, 67-65 "
1-12,North+Carolina,Syracuse,"W, 81-75 "
1-16,North+Carolina,Florida St.,"L, 82-75 "
1-20,North+Carolina,Wake Forest,"W, 80-73 "
1-23,North+Carolina,North Carolina St.,"W, 86-76 "
1-26,North+Carolina,Pittsburgh,"W, 75-65 "
2-02,North+Carolina,Clemson,"L, 63-50 "
2-06,North+Carolina,Duke,"W, 91-87 "
2-13,North+Carolina,Virginia,"L, 60-48 "
2-17,North+Carolina,Northeastern,"W, 82-62 "
2-20,North+Carolina,Louisville,"W, 99-54 "
2-24,North+Carolina,Marquette,"L, 83-70 "
2-27,North+Carolina,Florida St.,"W, 78-70 "
3-01,North+Carolina,Syracuse,"L, 72-70 "
3-06,North+Carolina,Duke,"W, 91-73 "
3-10,North+Carolina,Notre Dame,"W, 101-59 "
3-11,North+Carolina,Virginia Tech,"W, 81-73 "
3-12,North+Carolina,Florida St.,"L, 69-66 "
3-19,North+Carolina,Wisconsin,"L, 85-62 "
11-25,Wisconsin,Eastern Illinois,"W, 77-67 "
11-27,Wisconsin,Arkansas Pine Bluff,"W, 92-58 "
12-01,Wisconsin,Green Bay,"W, 82-42 "
12-04,Wisconsin,Marquette,"L, 67-65 "
12-09,Wisconsin,Rhode Island,"W, 73-62 "
12-15,Wisconsin,Loyola Chicago,"W, 77-63 "
12-19,Wisconsin,Louisville,"W, 85-48 "
12-22,Wisconsin,Nebraska,"W, 67-53 "
12-25,Wisconsin,Michigan St.,"W, 85-76 "
12-28,Wisconsin,Maryland,"L, 70-64 "
12-31,Wisconsin,Minnesota,"W, 71-59 "
1-07,Wisconsin,Indiana,"W, 80-73 2OT"
1-12,Wisconsin,Michigan,"L, 77-54 "
1-15,Wisconsin,Rutgers,"W, 60-54 "
1-20,Wisconsin,Northwestern,"W, 68-52 "
1-23,Wisconsin,Ohio St.,"L, 74-62 "
1-27,Wisconsin,Maryland,"W, 61-55 "
1-30,Wisconsin,Penn St.,"L, 81-71 "
2-02,Wisconsin,Penn St.,"W, 72-56 "
2-06,Wisconsin,Illinois,"L, 75-60 "
2-10,Wisconsin,Nebraska,"W, 61-48 "
2-14,Wisconsin,Michigan,"L, 67-59 "
2-18,Wisconsin,Iowa,"L, 77-62 "
2-21,Wisconsin,Northwestern,"W, 68-51 "
2-27,Wisconsin,Illinois,"L, 74-69 "
3-02,Wisconsin,Purdue,"L, 73-69 "
3-07,Wisconsin,Iowa,"L, 77-73 "
3-11,Wisconsin,Penn St.,"W, 75-74 "
3-12,Wisconsin,Iowa,"L, 62-57 "
3-19,Wisconsin,North Carolina,"W, 85-62 "
3-21,Wisconsin,Baylor,"L, 76-63 "
11-25,Michigan,Bowling Green,"W, 96-82 "
11-29,Michigan,Oakland,"W, 81-71 OT"
12-02,Michigan,Ball St.,"W, 84-65 "
12-06,Michigan,UCF,"W, 80-58 "
12-09,Michigan,Toledo,"W, 91-71 "
12-13,Michigan,Penn St.,"W, 62-58 "
12-25,Michigan,Nebraska,"W, 80-69 "
12-31,Michigan,Maryland,"W, 84-73 "
1-03,Michigan,Northwestern,"W, 85-66 "
1-06,Michigan,Minnesota,"W, 82-57 "
1-12,Michigan,Wisconsin,"W, 77-54 "
1-16,Michigan,Minnesota,"L, 75-57 "
1-19,Michigan,Maryland,"W, 87-63 "
1-22,Michigan,Purdue,"W, 70-53 "
2-14,Michigan,Wisconsin,"W, 67-59 "
2-18,Michigan,Rutgers,"W, 71-64 "
2-21,Michigan,Ohio St.,"W, 92-87 "
2-25,Michigan,Iowa,"W, 79-57 "
2-27,Michigan,Indiana,"W, 73-57 "
3-02,Michigan,Illinois,"L, 76-53 "
3-04,Michigan,Michigan St.,"W, 69-50 "
3-07,Michigan,Michigan St.,"L, 70-64 "
3-12,Michigan,Maryland,"W, 79-66 "
3-13,Michigan,Ohio St.,"L, 68-67 "
3-20,Michigan,Texas Southern,"W, 82-66 "
3-22,Michigan,LSU,"W, 86-78 "
3-28,Michigan,Florida St.,"W, 76-58 "
3-30,Michigan,UCLA,"L, 51-49 "
11-25,Texas+Tech,Northwestern St.,"W, 101-58 "
11-27,Texas+Tech,Sam Houston St.,"W, 84-52 "
11-29,Texas+Tech,Houston,"L, 64-53 "
12-04,Texas+Tech,Troy,"W, 80-46 "
12-06,Texas+Tech,Grambling St.,"W, 81-40 "
12-09,Texas+Tech,Abilene Christian,"W, 51-44 "
12-12,Texas+Tech,Texas A&M Corpus Chris,"W, 77-57 "
12-17,Texas+Tech,Kansas,"L, 58-57 "
12-22,Texas+Tech,Oklahoma,"W, 69-67 "
12-29,Texas+Tech,Incarnate Word,"W, 79-51 "
1-02,Texas+Tech,Oklahoma St.,"L, 82-77 OT"
1-05,Texas+Tech,Kansas St.,"W, 82-71 "
1-09,Texas+Tech,Iowa St.,"W, 91-64 "
1-13,Texas+Tech,Texas,"W, 79-77 "
1-16,Texas+Tech,Baylor,"L, 68-60 "
1-25,Texas+Tech,West Virginia,"L, 88-87 "
1-30,Texas+Tech,LSU,"W, 76-71 "
2-01,Texas+Tech,Oklahoma,"W, 57-52 "
2-06,Texas+Tech,Kansas St.,"W, 73-62 "
2-09,Texas+Tech,West Virginia,"L, 82-71 "
2-20,Texas+Tech,Kansas,"L, 67-61 "
2-22,Texas+Tech,Oklahoma St.,"L, 74-69 OT"
2-27,Texas+Tech,Texas,"W, 68-59 "
3-02,Texas+Tech,TCU,"W, 69-49 "
3-04,Texas+Tech,Iowa St.,"W, 81-54 "
3-07,Texas+Tech,Baylor,"L, 88-73 "
3-11,Texas+Tech,Texas,"L, 67-66 "
3-19,Texas+Tech,Utah St.,"W, 65-53 "
3-21,Texas+Tech,Arkansas,"L, 68-66 "
11-26,Gonzaga,Kansas,"W, 102-90 "
11-27,Gonzaga,Auburn,"W, 90-67 "
12-02,Gonzaga,West Virginia,"W, 87-82 "
12-19,Gonzaga,Iowa,"W, 99-88 "
12-21,Gonzaga,Northwestern St.,"W, 95-57 "
12-22,Gonzaga,Northwestern St.,"W, 95-78 "
12-26,Gonzaga,Virginia,"W, 98-75 "
12-28,Gonzaga,Northern Arizona,"W, 88-58 "
12-29,Gonzaga,Dixie St.,"W, 112-67 "
1-02,Gonzaga,San Francisco,"W, 85-62 "
1-07,Gonzaga,BYU,"W, 86-69 "
1-09,Gonzaga,Portland,"W, 116-88 "
1-14,Gonzaga,Pepperdine,"W, 95-70 "
1-16,Gonzaga,Saint Mary's,"W, 73-59 "
1-23,Gonzaga,Pacific,"W, 95-49 "
1-28,Gonzaga,San Diego,"W, 90-62 "
1-30,Gonzaga,Pepperdine,"W, 97-75 "
2-04,Gonzaga,Pacific,"W, 76-58 "
2-08,Gonzaga,BYU,"W, 82-71 "
2-13,Gonzaga,San Francisco,"W, 100-61 "
2-18,Gonzaga,Saint Mary's,"W, 87-65 "
2-20,Gonzaga,San Diego,"W, 106-69 "
2-25,Gonzaga,Santa Clara,"W, 89-75 "
2-27,Gonzaga,Loyola Marymount,"W, 86-69 "
3-08,Gonzaga,Saint Mary's,"W, 78-55 "
