Rk,TEAM,CONF,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,Adj T.,WAB,SEED,YEAR,WAS_SEED_AVG
1,"Gonzaga
1 seed, ?",WCC,26.00,"26-0
15–0","125.4
1","89.8
7",".9791
1","61
1","47.5
56","16.1
35","20.3
85","30.4
91","23.4
24","36.7
51","25.9
44","64
1","46.8
68","36.5
58","32.5
101","74.6
3","8.5
2",1,2021,-0.5
2,"Houston
2 seed, ?",Amer,26.00,"24-3
14–3","120.6
5","90.9
13",".9626
2","51.3
103","42.9
1","16.3
43","21.6
46","39.4
2","28
175","30.7
188","42.4
333","49.9
159","43
5","35.5
86","28.5
7","65
317","4
12",2,2021,-0.8
3,"Baylor
1 seed, ?",B12,24.00,"22-2
13–1","123.1
3","94.4
45",".9549
3","57.5
3","49.1
129","17.6
101","24.6
3","37.5
4","30.9
277","27
287","31.7
175","54.1
34","48.1
109","41.8
1","34
179","68.8
151","6.6
5",1,2021,-0.5
4,"Illinois
1 seed, ?",B10,29.00,"23-6
16–4","117.7
10","90.4
11",".9539
4","55.6
16","46.6
34","18.2
129","16.1
316","33
34","22.2
10","39.2
20","30.5
152","55.3
19","45.4
28","37.6
25","32.7
115","70.7
75","8.9
1",1,2021,-0.5
5,"Michigan
1 seed, ?",B10,24.00,"20-4
14–3","118.1
7","91.1
14",".9522
5","54.9
23","44.9
6","16.3
43","15.1
335","29.4
117","24.8
57","28.9
241","24.5
25","53.3
49","42.3
3","38.7
12","33.5
150","66.9
248","7.2
3",1,2021,-0.5
6,"Iowa
2 seed, ?",B10,29.00,"21-8
14–6","123.5
2","95.8
63",".9490
6","54.6
28","48.3
89","13.3
1","16.3
308","30.7
84","28.6
202","32
162","22.6
10","52.4
70","45.8
34","38.6
13","34.8
228","70
96","5.6
7",2,2021,-0.8
7,"Alabama
2 seed, ?",SEC,30.00,"24-6
16–2","111.0
37","88.1
2",".9346
7","51.3
103","45.3
10","18.6
157","21.1
57","31.5
65","29.8
248","28.6
248","31.9
181","50.1
152","46.4
53","35.1
102","28.8
10","73.9
9","6.8
4",2,2021,-0.8
8,"Ohio St.
2 seed, ?",B10,30.00,"21-9
12–8","122.1
4","97.0
78",".9341
8","53.1
51","48.9
121","15.3
12","15
336","29.1
127","27.4
153","37.6
37","33.8
230","52.1
78","47.4
86","36.5
58","34.1
184","66.9
247","6
6",2,2021,-0.8
9,"Florida St.
4 seed, ?",ACC,22.00,"16-6
11–4","117.8
9","94.0
39",".9306
9","54.4
31","46.5
30","20.1
231","19.6
121","35.4
15","31.4
290","32.7
145","36.3
282","52.1
78","44.2
11","39
9","33.3
142","70.4
86","2.5
24",4,2021,-0.578947368
10,"San Diego St.
6 seed, ?",MWC,26.00,"23-4
14–3","111.1
35","90.0
8",".9192
10","52.7
62","46.7
37","16.9
71","22.5
21","29.9
107","24.4
42","34.3
98","32.7
198","50.5
135","44.6
13","37.5
27","32.8
120","66
283","2.9
22",6,2021,-0.4
11,"Connecticut
7 seed, ?",BE,22.00,"15-7
11–6","114.6
13","92.8
23",".9188
11","49.5
193","46.2
27","17.6
101","19.6
121","36.9
6","29.8
248","29.6
226","36.9
292","49
202","45.6
31","33.6
176","31.6
59","65.7
297","2.1
30",7,2021,0.15
12,"Wisconsin
9 seed, ?",B10,29.00,"17-12
10–10","111.3
32","90.4
12",".9162
12","49.4
198","47.9
70","13.5
2","17.8
237","23.7
282","25.1
70","26.9
289","28.5
100","46.3
292","47.1
77","36
66","33
128","65
316","2.2
28",9,2021,0.75
13,"Loyola Chicago
8 seed, ?",MVC,26.00,"24-4
16–2","108.5
65","88.3
3",".9139
13","56.3
9","46.7
37","18.5
149","21.6
46","26
229","21
3","30.7
188","22.4
7","58
4","45.5
29","35.7
76","32.5
101","63.9
333","1.7
34",8,2021,-0.45
14,"Virginia
4 seed, ?",ACC,24.00,"18-6
13–4","114.6
14","93.9
38",".9080
14","56.1
11","47.9
70","15.4
14","15.2
333","23.1
299","22.6
15","22
342","24.6
26","55.3
19","46.1
46","38.1
16","34
179","59.9
347","3.4
16",4,2021,-0.578947368
15,"Villanova
5 seed, ?",BE,22.00,"16-6
11–4","117.9
8","96.7
72",".9076
15","52.8
60","51.8
245","13.5
2","19
147","27.9
166","24.8
57","30
212","25.8
42","52.8
61","51
227","35.2
99","35.4
253","65.1
312","3.2
18",5,2021,0.2
16,"Tennessee
5 seed, ?",SEC,26.00,"18-8
10–7","108.7
56","89.2
5",".9072
16","50.1
168","45.9
24","18.2
129","22.9
14","31.4
67","28.6
202","35.1
80","31.1
162","49.8
165","44.8
15","33.8
161","31.8
69","66.9
241","2.4
25",5,2021,0.2
17,"Texas
3 seed, ?",B12,26.00,"19-7
11–6","113.9
16","93.5
33",".9058
17","52.9
58","46.7
37","20.2
239","17.8
237","31.3
68","26.9
137","34
107","36.7
291","52.4
70","45.8
34","35.7
76","32.3
88","69.1
136","4.2
11",3,2021,0.047619048
18,"Texas Tech
6 seed, ?",B12,27.00,"17-10
9–8","112.3
27","92.3
21",".9056
18","49.7
185","47.9
70","16.2
41","23.8
8","33.8
28","29.7
243","39.3
19","36.4
284","48.7
217","44.8
15","34.7
119","35.1
239","65.7
295","0.9
44",6,2021,-0.4
19,"USC
6 seed, ?",P12,29.00,"22-7
15–5","112.0
29","92.0
20",".9051
19","52.1
77","45.4
11","18.1
124","17.4
263","35.7
10","27.3
149","37.5
38","24.8
31","52.1
78","42.2
2","34.8
114","34.2
195","67.2
228","3.6
14",6,2021,-0.4
20,"West Virginia
3 seed, ?",B12,27.00,"18-9
11–6","115.9
11","95.3
60",".9045
20","48.7
226","50.2
175","17
75","20.7
69","35.6
12","31.3
283","39.4
17","28.5
100","46.4
289","51.3
239","35.7
76","32.3
88","69.6
109","3
19",3,2021,0.047619048
