TEAM,opponent,result,predicted
Longwood,Abilene Christian,L,W
Sam Houston St.,Abilene Christian,W,L
Utah Valley,Abilene Christian,L,W
South Dakota,Air Force,W,L
Texas Southern,Air Force,L,W
Tulsa,Air Force,L,W
UNLV,Air Force,L,W
Utah St.,Air Force,L,W
Fordham,Akron,W,L
Kent St.,Akron,W,L
Baylor,Alabama,L,W
Davidson,Alabama,W,L
Georgia,Alabama,W,L
Gonzaga,Alabama,L,W
Houston,Alabama,L,W
Iona,Alabama,W,L
Memphis,Alabama,W,L
Mississippi St.,Alabama,W,L
Missouri,Alabama,W,L
Tennessee,Alabama,L,W
Jackson St.,Alabama A&M,L,W
Tennessee St.,Alabama A&M,L,W
Arkansas Pine Bluff,Alabama St.,W,L
Jackson St.,Alabama St.,L,W
North Carolina Central,Alabama St.,L,W
Binghamton,Albany,W,L
Boston College,Albany,L,W
Eastern Kentucky,Albany,W,L
UMBC,Albany,L,W
Grambling St.,Alcorn St.,W,L
Southern,Alcorn St.,L,W
Texas Southern,Alcorn St.,L,W
Marist,American,L,W
Mount St. Mary's,American,L,W
St. Francis PA,American,L,W
Charlotte,Appalachian St.,W,L
Louisiana Lafayette,Appalachian St.,W,L
South Alabama,Appalachian St.,L,W
Troy,Appalachian St.,W,L
Tennessee,Arizona,W,L
Creighton,Arizona St.,L,W
Grand Canyon,Arizona St.,L,W
Oregon,Arizona St.,L,W
Hofstra,Arkansas,W,L
LSU,Arkansas,L,W
Mississippi St.,Arkansas,W,L
Oklahoma,Arkansas,W,L
Vanderbilt,Arkansas,W,L
Alabama St.,Arkansas Pine Bluff,L,W
Bethune Cookman,Arkansas Pine Bluff,L,W
Louisiana Lafayette,Arkansas St.,W,L
Boston University,Army,L,W
LIU Brooklyn,Army,W,L
La Salle,Army,W,L
Lafayette,Army,W,L
Lehigh,Army,W,L
Navy,Army,L,W
Connecticut,Auburn,W,L
Dayton,Austin Peay,L,W
Howard,Austin Peay,L,W
North Florida,Austin Peay,W,L
Southeast Missouri St.,Austin Peay,W,L
Tennessee Martin,Austin Peay,W,L
Tennessee St.,Austin Peay,W,L
Creighton,BYU,W,L
Pacific,BYU,W,L
Saint Mary's,BYU,L,W
San Francisco,BYU,L,W
Santa Clara,BYU,W,L
Utah Valley,BYU,W,L
Vanderbilt,BYU,W,L
FIU,Ball St.,W,L
Indiana St.,Ball St.,L,W
Massachusetts,Ball St.,L,W
Alabama,Baylor,W,L
Oklahoma St.,Baylor,W,L
Texas Tech,Baylor,W,L
Loyola Marymount,Bellarmine,W,L
South Dakota,Bellarmine,W,L
Chattanooga,Belmont,L,W
Dayton,Belmont,W,L
Iona,Belmont,L,W
Morehead St.,Belmont,W,L
Arkansas Pine Bluff,Bethune Cookman,W,L
Bryant,Bethune Cookman,L,W
Jackson St.,Bethune Cookman,L,W
Albany,Binghamton,L,W
Columbia,Binghamton,W,L
Hartford,Binghamton,W,L
NJIT,Binghamton,W,L
UMass Lowell,Binghamton,L,W
Cal St. Bakersfield,Boise St.,W,L
Saint Louis,Boise St.,W,L
St. Bonaventure,Boise St.,W,L
UC Irvine,Boise St.,W,L
Albany,Boston College,W,L
Clemson,Boston College,L,W
Notre Dame,Boston College,L,W
Pittsburgh,Boston College,W,L
Virginia Tech,Boston College,L,W
Army,Boston University,W,L
Colgate,Boston University,L,W
Holy Cross,Boston University,W,L
Loyola MD,Boston University,W,L
Marist,Boston University,W,L
Northeastern,Boston University,W,L
Sam Houston St.,Boston University,L,W
Central Michigan,Bowling Green,W,L
Oakland,Bowling Green,L,W
Western Carolina,Bowling Green,W,L
Brown,Bradley,W,L
Drake,Bradley,L,W
Duquesne,Bradley,W,L
Howard,Bradley,W,L
Illinois St.,Bradley,W,L
Indiana St.,Bradley,W,L
Northern Iowa,Bradley,L,W
Bradley,Brown,L,W
Dartmouth,Brown,W,L
Harvard,Brown,L,W
Penn,Brown,W,L
Bethune Cookman,Bryant,W,L
Dartmouth,Bryant,W,L
La Salle,Bucknell,L,W
Loyola MD,Bucknell,L,W
Rider,Bucknell,L,W
Siena,Bucknell,L,W
