Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,Adj T.,WAB
Gonzaga,WCC,19,17-26–0,123.52,91.116,.97071,60.61,436,16.236,17.9220,31.777,25.158,32.1122,2218,62.91,427,37.819,3033,73.44,3.212
Houston   (H) 83 Tulane,Amer,20,18-27–0,118.26,87.65,.96882,53.543,42.75,16.339,23.914,38.83,28.5184,29.5193,31.2211,53.751,42.710,35.479,28.513,64.9308,3.114
Baylor,B12,22,19-37–2,118.95,91.520,.95333,55.219,4889,19.1194,24.89,38.15,26.695,26290,26.282,55.128,49.4161,36.934,30.345,67.9153,5.23
Kentucky   (H) 96 Vanderbilt,SEC,21,17-46–2,120.04,92.524,.95204,54.825,45.935,1763,18.1209,39.11,22.210,25308,2443,55.816,46.354,34.9100,30.239,68.7108,315
Purdue   (A) 92 Minnesota,B10,21,18-37–3,126.11,97.882,.94915,58.92,48.5116,17.168,14.7339,37.26,23.524,37.724,21.917,56.97,48.1110,41.22,32.7133,66.4241,4.16
Villanova   (A) 37 Marquette,BE,21,16-59–2,117.57,91.317,.94836,52.188,46.444,14.710,19.5124,31.967,26.9106,28.6222,24.651,49.6173,46.865,36.645,30.551,61356,3.311
Arizona,P12,19,17-27–1,115.016,89.48,.94747,54.234,42.43,17.9115,19.4132,36.611,27.9157,33.387,23.835,56.97,39.21,33.2189,32.2114,73.53,3.59
Auburn,SEC,22,21-19–0,116.312,90.515,.94678,51.997,4519,15.726,21.448,33.145,28161,31.1154,33.1249,53.654,43.312,32.9206,31.9103,69.676,6.51
UCLA,P12,18,16-28–1,114.519,89.59,.94419,51.6110,46.850,13.84,20.576,31.393,25.158,30.3176,26.897,50.9124,46.354,35.479,31.8100,67.8154,3.87
Texas Tech,B12,22,17-56–3,109.752,86.34,.939810,53.347,45.423,19.7232,23.914,35.118,25.979,37.822,32229,55.717,44.823,32.7221,30.758,66.3244,3.113
Duke,ACC,21,18-38–2,115.414,91.418,.936311,54.727,4519,1515,18.2202,31.679,29.5227,28.4228,17.71,5530,45.432,36.159,29.527,68.6114,3.410
Kansas,B12,21,18-37–1,120.43,95.447,.935312,55.415,48.2100,18.3139,19.5124,34.723,27.9157,30.5171,27.8127,55.717,49.1153,36.549,30.963,69.289,5.72
Illinois   (H) 22 Wisconsin,B10,20,15-58–2,114.717,92.826,.919013,53.839,44.614,19.3212,15.8318,36.98,25.263,30.3176,28129,52.775,4311,36.934,32.3120,66.8215,2.123
Texas,B12,22,16-65–4,110.840,89.912,.917914,51.997,45.627,18.9179,24.89,32.359,29.1208,30.7167,30.7197,53.363,45.228,33.1193,30.963,62.5348,1.334
Tennessee,SEC,21,15-66–3,109.654,89.611,.911015,51127,48.7128,18.5153,25.17,33.436,26.9106,27.2264,29.5161,51.6101,48.1110,33.5176,33145,68.5119,2.516
Indiana,B10,21,16-57–4,108.472,89.610,.899516,53.251,43.38,18.8171,17.9220,28.1189,24.750,35.156,27.7121,53.558,41.45,35.190,30.862,67.6168,1.137
Michigan St.,B10,21,17-48–2,112.726,93.733,.893217,5353,44.917,20.4277,16308,33.145,26.695,33.387,24.959,50.3148,45.637,38.99,29.222,68.5123,3.88
Xavier   (H) 153 Butler,BE,20,15-55–4,112.527,93.732,.891318,50.9136,46.341,17.7100,18.8163,30.9104,23.729,3647,21.29,50.8128,45.637,33.9158,31.686,69.583,2.417
LSU,SEC,22,16-64–5,103.1157,86.13,.887919,49.4193,43.711,20.6291,25.54,34.226,28.9203,29.8187,36304,49.5174,45.840,32.8215,27.65,69.290,2.220
Iowa St.,B12,22,16-63–6,105.3113,88.07,.887520,50.8139,46.952,20.3271,25.83,30.3122,27.7148,28.9212,36.8309,51.996,50.1188,32.5233,27.65,66.8214,2.319
Washington St.,P12,19,12-75–3,107.881,90.514,.882021,49.9177,4519,17.9115,21.351,35.914,27.4127,31.9128,33.2251,49.5174,44.515,33.6173,30.655,66.4237,-3.2130
Wisconsin   (A) 13 Illinois,B10,20,17-38–2,112.229,94.640,.877522,48.2245,49.3150,12.52,17.6242,26.8230,24.750,32.3111,26.588,47.6254,48.6137,32.9206,33.9205,66.9212,54
Saint Mary's,WCC,20,17-45–1,108.470,91.922,.870023,52.766,47.780,18.3139,20.391,30.1126,22.19,24.7315,24.245,53.460,46.659,34.4127,33.5178,64332,2.124
Boise St.,MWC,20,17-48–0,103.7149,87.96,.869624,49.4193,45.423,19.1194,20.863,31.967,21.66,34.962,27.2103,49.2187,44.618,33.1193,31.582,65.6282,1.926
Alabama,SEC,22,14-84–5,117.09,99.3120,.868525,52.282,49.6169,18.5153,17.9220,35.914,31271,33.583,34.5281,56.610,50.9231,31.4273,31.686,71.424,1.731
,,,,,,,,,,,,,,,,,,,,
Iowa,B10,21,14-74–6,116.510,99.0114,.866826,51.997,49.6169,12.41,20.863,31.586,30.7264,31.6135,28.2136,52.970,50.2195,33.6173,32.4124,70.645,0.154
San Diego St.,MWC,17,12-54–2,98.0257,83.31,.866427,47.7263,42.32,19.1194,21.742,28.3179,27.6139,30.4175,27.7121,46.6286,41.66,33.4182,28.920,66265,0.155
Ohio St.,B10,18,13-56–3,116.511,99.1115,.865628,55.711,4754,17.588,16308,30.1126,28.1167,32.5106,29.7168,56.214,45.944,36.837,32.6128,66.5234,2.221
San Francisco,WCC,21,17-54–3,109.556,93.230,.864529,53.937,46.341,19.6229,18.5182,31.393,2555,26.8274,29.3155,55.522,47.899,34.6115,28.513,68.6116,0.448
Connecticut,BE,20,15-56–3,110.841,94.641,.860730,49.5189,43.812,17.483,20.197,38.83,28.5184,32.997,34267,48.1234,40.63,34.9100,33.9205,66.3250,0.841
